ZoneCategory,Address,BuildingSqFt,PropertyType,OwnerName,OwnerState
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,100 NW 6 ST,602884,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL NORTH LLC,VA
CRA Only,100 NW 6 ST,602884,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL NORTH LLC,VA
CRA Only,100 NW 6 ST,602884,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL NORTH LLC,VA
CRA Only,100 NW 6 ST,602884,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL NORTH LLC,VA
CRA Only,700 NW 1 AVE,215207,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,B9 2MC OWNER LLC,NY
CRA Only,700 NW 1 AVE,215207,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,B9 2MC OWNER LLC,NY
CRA Only,700 NW 1 AVE,215207,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,B9 2MC OWNER LLC,NY
CRA Only,1901 COLLINS AVE,300128,HOTEL OR MOTEL : HOTEL,SHORE CLUB TRUSTEE LLC TRS,FL
CRA Only,2377 COLLINS AVE,433336,HOTEL OR MOTEL : COMMERCIAL - TOTAL VALUE,SB HOTEL OWNER LP,CT
CRA Only,340 23 ST,193330,AUTOMOTIVE OR MARINE : AUTOMOTIVE OR MARINE,CITY OF MIAMI BEACH,FL
CRA Only,2340 COLLINS AVE,266786,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,NORTH BAY OWNER LLC,FL
CRA Only,2360 COLLINS AVE,148514,HOTEL OR MOTEL : HOTEL,DEAN MB PROPCO LLC,FL
CRA Only,500 17 ST,186654,ENCLOSED THEATER/AUDITORIUM : ENTERTAINMENT,CITY OF MIAMI BEACH,FL
CRA Only,1691 MICHIGAN AVE,363061,OFFICE BUILDING - MULTISTORY : COMMERCIAL - TOTAL VALUE,RK RIVANI LLC LEASEE,FL
CRA Only,408 LINCOLN RD,256729,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,420 LINCOLN RD ASSOCIATES LTD,FL
CRA Only,1601 DREXEL AVE,164126,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,420 LINCOLN ROAD DEVELOPMENT LLC,FL
CRA Only,1698 ALTON RD,184875,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,1698 ALTON ROAD VENTURES LLC,FL
CRA Only,1111 LINCOLN RD,370836,OFFICE BUILDING - MULTISTORY : MIXED USE - COMMERCIAL,1111 LINCOLN LLC,CA
CRA Only,1100 LINCOLN RD,253168,STORE : RETAIL OUTLET,BH 1100 LINCOLN ROAD LLC,CA
CRA Only,1801 COLLINS AVE,206500,HOTEL OR MOTEL : HOTEL,SHELBORNE HOTEL PARTNERS WC LP,NY
CRA Only,1825 COLLINS AVE,149189,HOTEL OR MOTEL : HOTEL,HPT IHG-2 PROPERTIES TRUST,MA
CRA Only,1685 COLLINS AVE,138856,HOTEL OR MOTEL : HOTEL,BEACH HOTEL ASSOCIATES LLC,FL
CRA Only,1601 COLLINS AVE,789479,HOTEL OR MOTEL : HOTEL,MB REDEVELOPMENT LLC,FL
CRA Only,1545 COLLINS AVE,346455,HOTEL OR MOTEL : HOTEL,RP HOTEL HOLDINGS LLC,VA
CRA Only,1550 COLLINS AVE,261800,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,CITY OF MIAMI BEACH,FL
CRA Only,1 LINCOLN RD HOTEL,250000,HOTEL OR MOTEL : COMMERCIAL - TOTAL VALUE,DI LIDO BEACH HOTEL CORP,FL
CRA Only,14500 NE 6 AVE,126507,MIXED USE-STORE/RESIDENTIAL : MIXED USE - RESIDENTIAL,PANTHEON OCEAN KING,FL
CRA Only,1155 NE 137 ST,193949,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,WEST DIXIE TOWERS INC,FL
CRA Only,1595 NE 135 ST,177771,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,PAUL FELDMAN PA TRS,FL
CRA Only,1995 NE 142 ST,266092,AUTOMOTIVE OR MARINE : AUTOMOTIVE OR MARINE,G1R FLORIDA LLC,TX
CRA Only,14100 BISCAYNE BLVD,937907,AUTOMOTIVE OR MARINE : AUTOMOTIVE OR MARINE,COUNTYLINE AUTO CENTER INC,FL
CRA Only,14695 NE 18 AVE,606000,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,YMP CENTER COURT LLC,FL
CRA Only,1880 NE 123 ST,129121,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,CUBESMART LP,PA
CRA Only,12640 NE 12 AVE,521002,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,OMEGA INVESTORS GROUP LLC,FL
CRA Only,1396 NE 125 ST,154423,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,1396 NE 125TH LLC,CA
CRA Only,950 NE 124 ST,282475,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,HORIZON AT NOMI LLC,NY
CRA Only,1551 NE 167 ST,264056,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,GRAND ISLAND SQUARE LLC,FL
CRA Only,2145 NE 164 ST,555469,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,NORTH MB OWNER LLC,FL
CRA Only,850 N MIAMI BEACH BLVD,131504,STORE : RETAIL OUTLET,SONTIC WARD INC,FL
CRA Only,300 SHARAZAD BLVD,134146,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,RUDG TOWN CENTER LLC,FL
CRA Only,14701 NW 27 AVE,124800,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,MIAMI-DADE COUNTY,FL
CRA Only,554 NE 1 AVE,203528,AUTOMOTIVE OR MARINE : AUTOMOTIVE OR MARINE,FLORIDA CITY H LLC,OR
CRA Only,33501 S DIXIE HWY,252526,DEPARTMENT STORE : RETAIL OUTLET,WAL MART STORES EAST LP,AR
CRA Only,33001 S DIXIE HWY,130077,STORE : RETAIL OUTLET,HOME DEPOT USA INC,GA
CRA Only,7900 NW 27 AVE,680945,COMMUNITY SHOPPING CENTER : RETAIL OUTLET,NORTHSIDE CENTRE LLC,FL
CRA Only,1901 NW 79 ST,133625,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,REGENCY POINTE APTS LTD &,FL
CRA Only,17800 SW 107 AVE,132692,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,17800 SW 107 AVE LLC,FL
CRA Only,18096 SW 107 AVE,160220,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,CENTERRA ASSOC LTD,FL
CRA Only,10425 MARLIN RD,129488,WHOLESALE OUTLET : WHOLESALE OUTLET,GS CUTLER BAY LLC,MA
CRA Only,18901 SW 106 AVE,127072,STORE : RETAIL OUTLET,MMG CENTRE AT CUTLER BAY LLC,FL
CRA Only,18412 HOMESTEAD AVE,426436,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,184 HOLDINGS LLC,FL
CRA Only,19400 SW 106 AVE,123470,STORE : RETAIL OUTLET,HOME DEPOT USA INC,GA
CRA Only,13105 SW 248 ST,189008,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,HTG PRINCETON PARK LLC,FL
CRA Only,24101 S DIXIE HWY,180872,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,PINE GROVE APTS LLC,FL
CRA Only,12851 SW 242 ST,313019,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,WINDMILL FARMS ASSOCIATES LLC,FL
CRA Only,24205 SW 127 PL,165300,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,PRINCETON LANDINGS LLC,FL
CRA Only,12801 SW 252 ST,218094,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,12801 SW 252 OWNER LLC,IL
CRA Only,25001 SW 130 AVE,218945,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,CPT GP PRINCETON GROVES LLC,CO
CRA Only,25370 SW 137 AVE,375167,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,25400 SW 137TH AVENUE FL OWNER,IL
CRA Only,14340 SW 260 ST,128873,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,MCR LUMBER & MATERIALS SUPPLY INC,FL
CRA Only,26000 SW 144 AVENUE RD,126580,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,CIRCLE CREEK APARTMENTS LTD,FL
CRA Only,14311 SW 258 LN,128917,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,KEYS CROSSING LTD,FL
CRA Only,13700 SW 256 ST,256176,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,BIG SOPHIA FL LLC,FL
CRA Only,25851 S DIXIE HWY,153818,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,CORAL BAY COVE LLC,FL
CRA Only,26210 PARKER AVE,227738,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,27077 SFH LLC,FL
CRA Only,13735 SW 262 ST,184135,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,THE AVENUE AT NARANJA LLC,FL
