Address,City,Property Type,Building Sq Ft,Estimated Units,Owner Name,Owner State,Tax Status,Zones,Distress Score,Google Maps Link
15350 SW 284 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,223951,447,SREIT VILLA BISCAYNE LLC,GA,"Delinquent ($18,500)",CRA: Naranja,4/6,"https://www.google.com/maps/search/?api=1&query=25.502133,-80.43961"
25001 SW 130 AVE,Homestead,MULTIFAMILY 10 UNITS PLUS,218945,437,CPT GP PRINCETON GROVES LLC,CO,"Delinquent ($18,500)",CRA: Naranja Expansion,4/6,"https://www.google.com/maps/search/?api=1&query=25.534857,-80.402766"
12801 SW 252 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,218094,436,12801 SW 252 OWNER LLC,IL,"Delinquent ($18,500)",CRA: Naranja Expansion,4/6,"https://www.google.com/maps/search/?api=1&query=25.532785,-80.399266"
803 HOMESTEAD BLVD,Homestead,COMMUNITY SHOPPING CENTER,216282,432,KIMCO REALTY CORP,NY,"Delinquent ($23,750)",CRA: Homestead + OZ: 110.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.47944,-80.463055"
700 NW 1 AVE,Miami,OFFICE BUILDING - MULTISTORY,215207,430,B9 2MC OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.781189,-80.19609"
700 NW 1 AVE,Miami,OFFICE BUILDING - MULTISTORY,215207,430,B9 2MC OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.780855,-80.196007"
700 NW 1 AVE,Miami,OFFICE BUILDING - MULTISTORY,215207,430,B9 2MC OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.780785,-80.196108"
700 NW 1 AVE,Miami,OFFICE BUILDING - MULTISTORY,215207,430,B9 2MC OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.780613,-80.195902"
2900 NW 75 ST,Miami,WAREHOUSE TERMINAL OR STG,212106,424,ECS MIAMI PROPCO LLC,GA,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 9.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.842369,-80.244559"
6699 NW 36 AVE,Miami,WAREHOUSE TERMINAL OR STG,211928,423,LRF3 MIA 36TH AVENUE LLC,MA,"Delinquent ($18,500)",OZ: 9.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.833583,-80.254782"
1801 COLLINS AVE,Miami Beach,HOTEL OR MOTEL,206500,413,SHELBORNE HOTEL PARTNERS WC LP,NY,"Delinquent ($8,000)",CRA: Miami Beach City Center,4/6,"https://www.google.com/maps/search/?api=1&query=25.794154,-80.127747"
5705 NW 7 ST,Miami,COMMUNITY SHOPPING CENTER,204356,408,GRI EQY ( AIRPARK PLAZA) LLC,MD,"Delinquent ($18,500)",OZ: 57.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.778816,-80.289336"
155 NE 78 ST,Miami,MULTIFAMILY 10 UNITS PLUS,203531,407,LAFAYETTE SQUARE II LTD,MA,"Delinquent ($8,000)",OZ: 14.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.846771,-80.194224"
554 NE 1 AVE,Florida City,AUTOMOTIVE OR MARINE,203528,407,FLORIDA CITY H LLC,OR,"Delinquent ($8,000)",CRA: Florida City,4/6,"https://www.google.com/maps/search/?api=1&query=25.454842,-80.47668"
